add   r 000000 100000
addu  r 000000 100001
addi  i 001000
addiu i 001001
beq   i 000100
halt  j 111111
j     j 000010
jal   j 000011
jr    r 000000 001000
lw    i 100011
nor   r 000000 100111
sll   r 000000 000000
srl   r 000000 000010
slt   r 000000 101010
sub   r 000000 100010
sw    i 101011
ori   i 001101
xor   r 000000 100110

